datetime,time,sensor
2021-01-24T13:00:00Z,1344,1
2021-02-07T16:15:00Z,1344,2
2021-01-27T07:30:00Z,1344,3
2021-02-08T09:00:00Z,1344,4
2020-12-26T13:30:00Z,1344,5
2021-01-25T12:15:00Z,1344,6
2020-12-19T09:00:00Z,1344,7
2020-12-18T12:00:00Z,1344,8
2020-12-02T05:00:00Z,1344,9
2021-02-12T09:45:00Z,1344,10
2020-11-19T12:45:00Z,1344,11
2020-12-19T12:15:00Z,1344,12
2020-10-27T07:00:00Z,1344,13
2021-01-28T11:15:00Z,1344,14
2021-01-23T20:45:00Z,1344,15
2020-12-19T11:00:00Z,1344,16
2021-01-29T09:00:00Z,1344,17
2020-12-07T12:00:00Z,1344,18
2020-12-26T14:00:00Z,1344,19
2021-01-30T07:00:00Z,1344,20
2020-12-19T12:00:00Z,1344,21
2020-12-26T15:30:00Z,1344,22
2020-12-25T13:30:00Z,1344,23
2021-01-30T11:00:00Z,1344,24
2020-12-25T17:15:00Z,1344,25
