sensor,time,datetime,y,x
1,1,2021-01-10T13:15:00Z,-1.283937476,-2.894226177
1,2,2021-01-10T13:30:00Z,-1.305059095,-2.980515074
1,3,2021-01-10T13:45:00Z,-1.199451001,-2.980515074
1,4,2021-01-10T14:00:00Z,-0.777018625,-2.980515074
1,5,2021-01-10T14:15:00Z,-0.270099774,-2.980515074
1,6,2021-01-10T14:30:00Z,0.236819077,-2.980515074
1,7,2021-01-10T14:45:00Z,0.764859547,-2.968188089
1,8,2021-01-10T15:00:00Z,1.292900017,-2.968188089
1,9,2021-01-10T15:15:00Z,1.778697249,-2.968188089
1,10,2021-01-10T15:30:00Z,2.158886387,-2.968188089
1,11,2021-01-10T15:45:00Z,2.454589051,-2.462781693
1,12,2021-01-10T16:00:00Z,2.686926857,-2.462781693
1,13,2021-01-10T16:15:00Z,2.877021426,-2.462781693
1,14,2021-01-10T16:30:00Z,3.067115996,-2.462781693
1,15,2021-01-10T16:45:00Z,3.17272409,-1.871086402
1,16,2021-01-10T17:00:00Z,3.193845708,-1.871086402
1,17,2021-01-10T17:15:00Z,3.214967327,-1.871086402
1,18,2021-01-10T17:30:00Z,3.17272409,-1.230083169
1,19,2021-01-10T17:45:00Z,3.109359233,-1.230083169
1,20,2021-01-10T18:00:00Z,3.045994377,-1.230083169
1,21,2021-01-10T18:15:00Z,2.98262952,-1.230083169
1,22,2021-01-10T18:30:00Z,2.898143045,-1.230083169
1,23,2021-01-10T18:45:00Z,2.855899808,-0.700022803
1,24,2021-01-10T19:00:00Z,2.792534951,-0.700022803
1,25,2021-01-10T19:15:00Z,2.750291714,-0.700022803
1,26,2021-01-10T19:30:00Z,2.686926857,-0.700022803
1,27,2021-01-10T19:45:00Z,2.623562001,-0.502791039
1,28,2021-01-10T20:00:00Z,2.581318763,-0.502791039
1,29,2021-01-10T20:15:00Z,2.517953907,-0.502791039
1,30,2021-01-10T20:30:00Z,2.454589051,-0.502791039
1,31,2021-01-10T20:45:00Z,2.412345813,-0.330213246
1,32,2021-01-10T21:00:00Z,2.370102575,-0.330213246
1,33,2021-01-10T21:15:00Z,2.306737719,-0.330213246
1,34,2021-01-10T21:30:00Z,2.243372863,-0.330213246
1,35,2021-01-10T21:45:00Z,2.180008006,-0.231597364
1,36,2021-01-10T22:00:00Z,2.11664315,-0.231597364
1,37,2021-01-10T22:15:00Z,2.053278293,-0.231597364
1,38,2021-01-10T22:30:00Z,1.968791818,-0.231597364
1,39,2021-01-10T22:45:00Z,1.884305343,-0.367194201
1,40,2021-01-10T23:00:00Z,1.778697249,-0.367194201
1,41,2021-01-10T23:15:00Z,1.694210774,-0.367194201
1,42,2021-01-10T23:30:00Z,1.609724299,-0.367194201
1,43,2021-01-10T23:45:00Z,1.525237824,-0.761657729
1,44,2021-01-11T00:00:00Z,1.41962973,-0.761657729
1,45,2021-01-11T00:15:00Z,1.335143254,-0.761657729
1,46,2021-01-11T00:30:00Z,1.250656779,-0.761657729
1,47,2021-01-11T00:45:00Z,1.166170304,-0.761657729
1,48,2021-01-11T01:00:00Z,1.081683829,-1.5382578
1,49,2021-01-11T01:15:00Z,0.997197354,-1.5382578
1,50,2021-01-11T01:30:00Z,0.912710879,-1.5382578
1,51,2021-01-11T01:45:00Z,0.849346022,-1.5382578
1,52,2021-01-11T02:00:00Z,0.764859547,-2.019010225
1,53,2021-01-11T02:15:00Z,0.701494691,-2.019010225
1,54,2021-01-11T02:30:00Z,0.638129834,-2.019010225
1,55,2021-01-11T02:45:00Z,0.553643359,-2.351838826
1,56,2021-01-11T03:00:00Z,0.511400121,-2.351838826
1,57,2021-01-11T03:15:00Z,0.426913646,-2.351838826
1,58,2021-01-11T03:30:00Z,0.384670409,-2.351838826
1,59,2021-01-11T03:45:00Z,0.321305552,-2.487435664
1,60,2021-01-11T04:00:00Z,0.236819077,-2.487435664
1,61,2021-01-11T04:15:00Z,0.194575839,-2.487435664
1,62,2021-01-11T04:30:00Z,0.131210983,-2.487435664
1,63,2021-01-11T04:45:00Z,0.067846127,-2.795610295
1,64,2021-01-11T05:00:00Z,0.025602889,-2.795610295
1,65,2021-01-11T05:15:00Z,-0.016640348,-2.795610295
1,66,2021-01-11T05:30:00Z,-0.080005205,-2.943534118
1,67,2021-01-11T05:45:00Z,-0.122248442,-2.943534118
1,68,2021-01-11T06:00:00Z,-0.16449168,-2.943534118
1,69,2021-01-11T06:15:00Z,-0.206734918,-2.943534118
